name,band
Kit McClure,Kit McClure Band
Kit Mcclure,Kit McClure Band
"Kjellemyr, Bjørn",Jazzpunkensemblet
Kjersti Stubø,Kvitretten
Kjersti Stubø,Oofotr
Kjetil Møster,Trondheim Jazz Orchestra
Kjetil Møster,Ultralyd
"Klein, Dani",Vaya Con Dios
"Kleive, Audun",1300
"Kleive, Audun",Extended Noise
"Kleive, Audun",Generator X
Knut Riisnæs,Oslo Groove Company
"Kolstad, Per",Lava
"Kornstad, Håkon",Wibutee
"Krebs, Pete",The Stolen Sweets
"Kreken, Tor Egil",Wibutee
Kristin Asbjørnsen,Kvitretten
Kristin Asbjørnsen,Dadafon
"Kruse, Anine",Pitsj
"Kruse, Benedikte Shetelig",Pitsj
"Kurstin, Greg",Geggy Tah
Kurt Rosenwinkel,Human Feel
"Kvernberg, Ola",Trondheim Jazz Orchestra
Kye Palmer,Clayton-Hamilton Jazz Orchestra
Kye Palmer,Chris Walden Big Band
Kyla-Rose Smith,Freshlyground
Kåre Nymark Jr.,Funky Butt
"Laflamme, David",It's a Beautiful Day
"Langley, Noel",Loose Tubes
"Lansley, Andrew",Thrill Collins
"Large, Storm",Pink Martini
Larry King,Soleil Moon
Larry Shields,Original Dixieland Jazz Band
Lars Horntveth,Jaga Jazzist
"Lassen, Harald",Mopti
"Lassen, Harald",Pixel
"Lauderdale, Thomas M.",Pink Martini
"Lavin, Tom",Powder Blues Band
Lawrence Albert Payton,The Four Tops
Lawrence Albert Payton,Four Tops
"Lech, Beate S.",Beady Belle
"Lee, Albert",Bill Wyman's Rhythm Kings
Leonor Watling,Marlango
Lew Soloff,Paul Peress
Lew Soloff,"Peress, Paul"
Lewis Nash,The Blue Note 7
"Lewis, John",Modern Jazz Quartet
"Lewis, Michael",Happy Apple
Line Horntveth,Jaga Jazzist
Live Maria Roggen,Trondheim Voices
Live Maria Roggen,Come Shine
"Ljungkvist, Fredrik",Atomic
"Lockheart, Mark",Loose Tubes
"Lockheart, Mark",Polar Bear
"Lofthus, Torstein",Damp
"Logic, DJ",The John Popper Project
"Logic, DJ",The John Popper Project Featuring DJ Logic
"Lorson, Mary",Saint Low
"Louhivuori, Olavi",Oddarrang
Louis Robinson,TG Collective
"Lowrey, Bill",Peninsula Banjo Band
"Lund, Håvard",Trondheim Jazz Orchestra
"Lundin, Fredrik",Magnetic North Orchestra
"Lurie, Jessica Stevens",Living Daylights
Lydia,Presuntos Implicados
Lyle Mays,Pat Metheny Group
"Lysne, Geir",Oslo Groove Company
"Lønning, Eivind",Motif
"Lønning, Eivind",Trondheim Jazz Orchestra
M. Ward,She & Him
"MBE, Dr. Martin Taylor",Bill Wyman's Rhythm Kings
"Maestro, Virginia",Labuat
Magne Thormodsæter,Bergen Big Band
Magnus Broo,Atomic
Magnus Skavhaug Nergaard,Monkey Plot
"Mahola, Zolani",Freshlyground
Manfred Mann,Manfred Mann's Earth Band
"Mann, Manfred",Manfred Mann's Earth Band
Manose Singh,1974
Manose Singh,Time Out
Manose Singh,Aath Athara
Manose Singh,Samjhi Baschu
Marc Johnson,Night Ark
Marcella Puppini,The Puppini Sisters
Marcus Miller,SMV
"Maret, Grégoire",Pat Metheny Group
Maria Kannegaard,TINGeLING
Maria Kannegård,TINGeLING
Marius Reksjø,Beady Belle
Mark Lockheart,Loose Tubes
Mark Lockheart,Polar Bear
Mark Summer,Turtle Island Quartet
"Mark, Jon",Mark-Almond
Marlon Roudette,Mattafix
"Marsh, Hugh",The Henrys
Marte Maaland Eberson,Morning Has Occurred
Martin France,Human Chain
Martin France ARAM Hons,Human Chain
Martin Horntveth,Jaga Jazzist
Martin Taxt,Music for a While
Martin Taylor,Bill Wyman's Rhythm Kings
"Martin, Billy",Medeski Martin & Wood
Martín Perna,Antibalas
Mary Elizabeth Winstead,Got a Girl
Mary Elizabeth Winstead,I Love You But I Must Drive Off This Cliff Now
Mary Ellen Simpson,Gary Ruley and Mule Train
Mary Lorson,Saint Low
Mary Margaret O'Hara,The Henrys
Mary Margaret Ohara,The Henrys
Mary Simpson,Gary Ruley and Mule Train
Masahiro Andoh,T-Square
Masahiro Andoh,Ottottrio
Masayuki Hiizumi,PE'Z
"Mason, Jr., Harvey",The Underdogs
Mathias Eick,Trondheim Jazz Orchestra
Mathias Eick,Jaga Jazzist
Mathias Eick,Music for a While
"Mathisen, Jørgen",The Core
"Mathisen, Jørgen",Trondheim Jazz Orchestra
Mats Eilertsen,Dingobats
Mats Eilertsen,Trondheim Jazz Orchestra
Mats Gustafsson,The Thing
Matt Chamberlain,Critters Buggin
Maurice White,"Earth, Wind & Fire"
Maury Rosenberg,Hypnotic Clambake
Max Brody,Euripides Pants
"Mays, Lyle",Pat Metheny Group
"McChesney, Bob",Chris Walden Big Band
"McEntire, John",The Sea and Cake
"McGill, Ollie",The Cat Empire
"McLean, Jordan",Antibalas
"McNeir, Ronnie",The Four Tops
"McNeir, Ronnie",Four Tops
"Mcclure, Kit",Kit McClure Band
"Medeski, John",Medeski Martin & Wood
"Meier, Dieter",Yello
"Meisfjord, Sondre",Come Shine
"Mejide, Risto",Labuat
Mekaal Hasan Band,Mekaal Hasan Band
Mel Collins,The Alan Bown Set
Melvin Rhyne,The Dixon-Rhyne Project
"Metheny, Pat",Pat Metheny Group
Michael Lewis,Happy Apple
Michitarō,Cradle Orchestra
Mick Rogers,Manfred Mann's Earth Band
Mick Taylor,Bill Wyman's Rhythm Kings
Mike Dillon,Critters Buggin
Mike Einziger,Time-Lapse Consortium
Mike Lewis,Happy Apple
Mike Nolan,Bucks Fizz
Mike Nolan,OBF
Mikhail Alperin,Moscow Art Trio
Milan Petrović,Del Arno Band
"Miller, Marcus",SMV
"Miller, Troy",Andrew McCormack
"Miller, Troy","McCormack, Andrew"
Milt Jackson,Modern Jazz Quartet
Misha Alperin,Moscow Art Trio
"Mjøs, Andreas",Jaga Jazzist
"Moen, Øystein",Puma
"Moen, Øystein",Jaga Jazzist
"Molo, John",ModeReko
"Molvær, Nils Petter",1300
"Molvær, Nils Petter",Masqualero
"Molvær, Nils Petter",Jazzpunkensemblet
"Monro, Ryan",The Cat Empire
"Moreira, Airto",Sambrasa Trio
Morten Halle,1300
Morten Halle,Magnetic North Orchestra
Morten Halle,Jazzpunkensemblet
Morten Qvenild,In the Country
"Munson, John",The New Standards
"Myhr, Kim",Trondheim Jazz Orchestra
Myon Walden,The New Jazz Composers Octet
Myron Walden,The New Jazz Composers Octet
Mícheál Ó Domhnaill,Nightnoise
"Møster, Kjetil",Trondheim Jazz Orchestra
"Møster, Kjetil",Ultralyd
"Nash, Lewis",The Blue Note 7
Nasheet Waits,The New Jazz Composers Octet
Nate Wood,Kneebody
"Neame, Ivo",Phronesis
"Nergaard, Magnus Skavhaug",Monkey Plot
"Neville, Ivan",Dumpstaphunk
Nicholas Payton,The Blue Note 7
Nikhil Korula,The Nikhil Korula Band
Nils Petter Molvær,1300
Nils Petter Molvær,Masqualero
Nils Petter Molvær,Jazzpunkensemblet
Nils-Olav Johansen,Farmers Market
Nils-Olav Johansen,Storytellers
Nils-Olav Johansen,TINGeLING
Nils-Olav Johansen,Trondheim Jazz Orchestra
"Nilssen, Gard",Puma
"Nilssen, Gard",Bushman's Revenge
"Nilssen, Gard",Bushman's Revenge
"Nilssen-Love, Paal",Atomic
"Nilssen-Love, Paal",The Thing
Njål Ølnes,Dingobats
Njål Ølnes,Trondheim Jazz Orchestra
Noel Langley,Loose Tubes
"Nolan, Mike",Bucks Fizz
"Nolan, Mike",OBF
"Norbakken, Helge",Magnetic North Orchestra
"Norbakken, Helge",Batagraf
"Norbakken, Helge",Trondheim Jazz Orchestra
"Noro, Issei",Ottottrio
"Nylander, Erik",Magic Pocket
"Nymark, Kåre",Funky Butt
"Nymo, Atle",Motif
"Nymo, Atle",Trondheim Jazz Orchestra
"Nymo, Frode",Urban Connection
"Nymo, Frode",Trondheim Jazz Orchestra
"Ní Dhomhnaill, Tríona",Nightnoise
OBF,Bucks Fizz
OBF,OBF
"Oates, John",Hall & Oates
Odd Riisnæs,1300
"Ohara, Mary Margaret",The Henrys
Ola Kvernberg,Trondheim Jazz Orchestra
Olaf Kamfjord,Ab und Zu
Olav Dale,Bergen Big Band
Olav Dale,1300
Olavi Louhivuori,Oddarrang
Ole Hamre,Fliflet/Hamre
Ole Henrik Giørtz,Ab und Zu
Ole Jacob Hystad,Bergen Big Band
Ole Morten Vågan,Generator X
Ole Morten Vågan,Motif
Ole Morten Vågan,Trondheim Jazz Orchestra
Ole Thomsen,Bergen Big Band
Ollie McGill,The Cat Empire
Orlin Orlinov Pavlov,Kaffe
Orlin Pavlov,Kaffe
"Ormestad, Even",Jaga Jazzist
"Osolomon, Otis",The Watts Prophets
Oteil Burbridge,Bass Extremes
Otis Osolomon,The Watts Prophets
"Owens, Dennis",Free Moral Agents
"Owens, Isaiah Ikey",Free Moral Agents
Paal Nilssen-Love,Atomic
Paal Nilssen-Love,The Thing
"Palmer, Kye",Clayton-Hamilton Jazz Orchestra
"Palmer, Kye",Chris Walden Big Band
"Palmer, Robert",The Alan Bown Set
Paolo Vinaccia,Jazzpunkensemblet
"Paris, John","Earth, Wind & Fire"
"Parker, Eddie",Loose Tubes
"Parricelli, John",Loose Tubes
"Parzen-Johnson, Jonah",Zongo Junction
"Pascoal, Hermeto",Sambrasa Trio
"Pasillas, Jose",Time-Lapse Consortium
Pat Metheny,Pat Metheny Group
Patric Caird,Powder Blues Band
Patrick Tirano,TOI
Paul Carrack,Warm Dust
Paul Edmonds,Loose Tubes
Paul Wagnberg,The Real Thing
"Payton, Lawrence Albert",The Four Tops
"Payton, Lawrence Albert",Four Tops
"Payton, Nicholas",The Blue Note 7
"Pedersen, Eivin One",Extended Noise
Per Hillestad,Lava
Per Jørgensen,Magnetic North Orchestra
Per Kolstad,Lava
Per Oddvar Johansen,TINGeLING
Per Oddvar Johansen,Trondheim Jazz Orchestra
Per Zanussi,Trondheim Jazz Orchestra
Percy Heath,Modern Jazz Quartet
"Perna, Martin",Antibalas
Pete Krebs,The Stolen Sweets
Pete Wareham,Melt Yourself Down
Peter Bernstein,The Blue Note 7
Peter Washington,The Blue Note 7
"Petrovic, Milan",Del Arno Band
Petter Vågan,Trondheim Jazz Orchestra
Petter Wettre,Oslo Groove Company
Philip Bailey,"Earth, Wind & Fire"
"Pitt, Thomas",Magnetic North Orchestra
"Pointer, Anita",The Pointer Sisters
"Pointer, Ruth",The Pointer Sisters
"Pointer, Sadako",The Pointer Sisters
"Poling, Chan",The New Standards
"Popper, John",The John Popper Project
"Popper, John",The John Popper Project Featuring DJ Logic
"Pradhan, Adrian",1974
"Pradhan, Adrian",Time Out
"Pradhan, Adrian",Aath Athara
"Pradhan, Adrian",Samjhi Baschu
"Prekop, Sam",The Sea and Cake
"Prestia, Rocco",Tower of Power
"Prewitt, Archer",The Sea and Cake
"Price, Rachael",Lake Street Dive
Pupil,TOI
"Puppini, Marcella",The Puppini Sisters
Pål Hausken,Music for a While
Pål Hausken,In the Country
Pål Thowsen,Jazzpunkensemblet
"Qvenild, Morten",In the Country
Rachael Price,Lake Street Dive
"Ragas, Henry",Original Dixieland Jazz Band
"Rahman, Idris",Soothsayers
"Raknes, Eldbjørg",Kvitretten
"Raknes, Eldbjørg",TINGeLING
"Raknes, Steinar",The Core
"Raknes, Steinar",Urban Connection
"Raknes, Steinar",Trondheim Jazz Orchestra
Ralph Johnson,"Earth, Wind & Fire"
Rani Arbo and Daisy Mayhem,Rani Arbo and Daisy Mayhem
"Rastegar, Kaveh",Kneebody
Ravi Coltrane,The Blue Note 7
Reid Anderson,The Bad Plus
"Reksjø, Marius",Beady Belle
Rey Washam,Euripides Pants
"Rhyne, Melvin",The Dixon-Rhyne Project
"Richmond, Kim",Chris Walden Big Band
"Richmond, Terepai",The Whitlams
Rickey Woodard,Clayton-Hamilton Jazz Orchestra
"Rickman, Sean",Garaj Mahal
"Riisnæs, Knut",1300
"Riisnæs, Knut",Oslo Groove Company
"Rinne, Tapani",SlowHill
"Rinne, Tapani",RinneRadio
Risto Mejide,Labuat
Rob Crow,"Creedle
thumb"
Rob Dixon,The Dixon-Rhyne Project
Robert Hart,Manfred Mann's Earth Band
Robert Kool Bell,Kool & the Gang
Robert Palmer,The Alan Bown Set
"Robert \""Kool\"" Bell",Kool & the Gang
"Robinson, Louis",TG Collective
Rocco Prestia,Tower of Power
"Rochford, Seb",Polar Bear
"Rochford, Seb",Sons of Kemet
"Rodby, Steve",Pat Metheny Group
"Roden, Jess",The Alan Bown Set
"Rodriguez, Anthony",Soulganic
Roger Arntzen,In the Country
"Rogers, Mick",Manfred Mann's Earth Band
"Roggen, Ane Carmen",Pitsj
"Roggen, Ida",Pitsj
"Roggen, Live Maria",Trondheim Voices
"Roggen, Live Maria",Come Shine
"Roligheten, André",Albatrosh
Ronald Bell,Kool & the Gang
Ronnie McNeir,The Four Tops
Ronnie McNeir,Four Tops
"Rosenberg, Maury",Hypnotic Clambake
"Rosenwinkel, Kurt",Human Feel
"Roudette, Marlon",Mattafix
Runar Tafjord,The Brazz Brothers
Rune Brøndbo,Wibutee
Rune Nergård,Bushman's Revenge
Ruth Pointer,The Pointer Sisters
Ryan Monro,The Cat Empire
Sadako Pointer,The Pointer Sisters
Sam Prekop,The Sea and Cake
"Sanchez, Antonio",Pat Metheny Group
"Sandbakk, Ernst-Wiggo",Oofotr
Sanjay Shrestha,1974
Sanjay Shrestha,Time Out
Sanjay Shrestha,Aath Athara
Sanjay Shrestha,Samjhi Baschu
"Schilling, Christina",Technicoloured Roses
Schorsch Kamerun,Die Goldenen Zitronen
"Scott, Howard E.",Lee Oskar
"Scott, Howard E.","Oskar, Lee"
Sean Rickman,Garaj Mahal
Seb Rochford,Polar Bear
Seb Rochford,Sons of Kemet
"Seim, Trygve",1300
"Sen, Biswabijoy",Kollage
Shane Endsley,Kneebody
"Sheard, John",The Henrys
"Shields, Larry",Original Dixieland Jazz Band
"Shrestha, Sanjay",1974
"Shrestha, Sanjay",Time Out
"Shrestha, Sanjay",Aath Athara
"Shrestha, Sanjay",Samjhi Baschu
Sidsel Endresen,Trondheim Jazz Orchestra
"Simms, Frank",The Simms Brothers Band
"Simpson, Mary",Gary Ruley and Mule Train
"Singh, Manose",1974
"Singh, Manose",Time Out
"Singh, Manose",Aath Athara
"Singh, Manose",Samjhi Baschu
"Singleton, James",Astral Project
Sinosikat?,Sinosikat?
Siri Gjære,Trondheim Jazz Orchestra
Siri Gjære,Trondheim Voices
"Sjolie, David Aleksander",Mopti
"Skatrud, Even Kruse",Funky Butt
Skerik,Skerik's Syncopated Taint Septet
Skerik,Critters Buggin
"Skjerve, Heidi",Trondheim Jazz Orchestra
"Skjerve, Heidi",Trondheim Voices
"Skomsvoll, Erlend",Trondheim Jazz Orchestra
"Skomsvoll, Erlend",Come Shine
"Skybakmoen, Anja Eline",Pitsj
"Slater, Ashley",Loose Tubes
"Slettahjell, Solveig",Kvitretten
"Slettevoll, Erlend",The Core
Slow,SlowHill
"Smith, Kyla-Rose",Freshlyground
Snooky Young,Clayton-Hamilton Jazz Orchestra
"Soloff, Lew",Paul Peress
"Soloff, Lew","Peress, Paul"
Solveig Slettahjell,Kvitretten
Sondre Meisfjord,Come Shine
Soulshock,Soulshock & Cutfather
"Speed, Chris",Human Feel
"Stacy, Jess",Peg Meyer’s Melody Kings
Staffan William-Olsson,The Real Thing
"Stafford, Terell",The Clayton Brothers
Stanley Clarke,SMV
"Staszewski, Kazik",Kult
Stein Erik Tafjord,The Brazz Brothers
Steinar Raknes,The Core
Steinar Raknes,Urban Connection
Steinar Raknes,Trondheim Jazz Orchestra
Steve Argüelles,Loose Tubes
Steve Bailey,Bass Extremes
Steve Buckley,Loose Tubes
Steve Cobby,J*S*T*A*R*S
Steve Davis,The New Jazz Composers Octet
Steve Howe,The Steve Howe Trio
Steve Kinch,Manfred Mann's Earth Band
Steve Rodby,Pat Metheny Group
Steve Wilson,The Blue Note 7
Stian Carstensen,Farmers Market
Stian Carstensen,Music for a While
Stian Westerhus,Puma
Stokley Williams,Mint Condition
"Storløkken, Ståle",Humcrush
"Storløkken, Ståle",BOL
"Storløkken, Ståle",Veslefrekk
"Storløkken, Ståle",Trondheim Jazz Orchestra
Storm Large,Pink Martini
"Strønen, Thomas",Humcrush
"Strønen, Thomas",Food
"Strønen, Thomas",Trondheim Jazz Orchestra
Stuart D. Bogie,Antibalas
"Stubbs, Ken",Loose Tubes
"Stubø, Kjersti",Kvitretten
"Stubø, Kjersti",Oofotr
Ståle Storløkken,Humcrush
Ståle Storløkken,BOL
Ståle Storløkken,Veslefrekk
Ståle Storløkken,Trondheim Jazz Orchestra
"Summer, Mark",Turtle Island Quartet
"Sunde, Helge",Oslo Groove Company
"Sunde, Torbjørn",1300
"Sunde, Torbjørn",Jazzpunkensemblet
"Sundstrom, Anna",Kvitretten
Svante Henryson,Magnetic North Orchestra
Svein Dag Hauge,Lava
Svein Folkvord,Storytellers
"Svendsen, Christian Meaas",Mopti
Sverre Gjørvad,Dingobats
Sverre Gjørvad,Storytellers
Tad Kinchla,The John Popper Project
Tad Kinchla,The John Popper Project Featuring DJ Logic
"Tafjord, Hild Sofie",Trondheim Jazz Orchestra
"Tafjord, Runar",The Brazz Brothers
"Tafjord, Stein Erik",The Brazz Brothers
"Tagawa, Charlie",Peninsula Banjo Band
Takeshi Itoh,T-Square
Tamir Hendelman,Clayton-Hamilton Jazz Orchestra
Tapani Rinne,SlowHill
Tapani Rinne,RinneRadio
"Tarry, Chris",The Hipstones
"Taxt, Martin",Music for a While
"Taylor, Mick",Bill Wyman's Rhythm Kings
"Taylor, Terry",Bill Wyman's Rhythm Kings
Terell Stafford,The Clayton Brothers
Terepai Richmond,The Whitlams
Terje Isungset,Trondheim Jazz Orchestra
Terry Taylor,Bill Wyman's Rhythm Kings
Thaddeus Arwood Kinchla,The John Popper Project
Thaddeus Arwood Kinchla,The John Popper Project Featuring DJ Logic
The Cat Empire,The Cat Empire
The Invisible,Polar Bear
The Pinker Tones,Labuat
Thomas M. Lauderdale,Pink Martini
Thomas Pitt,Magnetic North Orchestra
Thomas Strønen,Humcrush
Thomas Strønen,Food
Thomas Strønen,Trondheim Jazz Orchestra
Thomas T. Dahl,Dingobats
"Thomassen, Hedvig Mollestad",Trondheim Jazz Orchestra
"Thomsen, Ole",Bergen Big Band
"Thomson, Dougie",The Alan Bown Set
"Thormodsæter, Magne",Bergen Big Band
"Thowsen, Pål",Jazzpunkensemblet
Tia Fuller,Kit McClure Band
Ticklah,Antibalas
Tim Freedman,The Whitlams
"Tirano, Patrick",TOI
Tom Lavin,Powder Blues Band
Tone Åse,BOL
Tone Åse,Kvitretten
Tone Åse,Trondheim Voices
Tor Egil Kreken,Wibutee
Tor Haugerud,BOL
Tor Haugerud,Trondheim Jazz Orchestra
Tora Augestad,Music for a While
Torbjørn Sunde,1300
Torbjørn Sunde,Jazzpunkensemblet
Tore Brunborg,1300
Tore Brunborg,Masqualero
Tore Brunborg,Magnetic North Orchestra
Tore Brunborg,Trondheim Jazz Orchestra
Tore Brunborg,Jazzpunkensemblet
Tore Johansen,Trondheim Jazz Orchestra
Torstein Ellingsen,The Real Thing
Torstein Lofthus,Damp
Tower of Power,Tower of Power
Troop,The Underdogs
"Tropea, John",Paul Peress
"Tropea, John","Peress, Paul"
Troy Miller,Andrew McCormack
Troy Miller,"McCormack, Andrew"
Trude Eick,Trondheim Jazz Orchestra
Trygve Seim,1300
Tríona Ní Dhomhnaill,Nightnoise
Tuck & Patti,Tuck & Patti
"Tuncboyaciyan, Arto",Night Ark
Ultra Bra,Oddarrang
"Ulvo, Andreas",Eple Trio
Val Fuentes,It's a Beautiful Day
Valerie Coleman,Imani Winds
"Vemøy, Jonas Kilmork",Pixel
Verdine White,"Earth, Wind & Fire"
"Vespestad, Jarle",Farmers Market
"Vespestad, Jarle",Veslefrekk
Victor Axelrod,Antibalas
Victor Wooten,Bass Extremes
Victor Wooten,SMV
"Vidacovich, Johnny",Astral Project
Vidar Johansen,Ab und Zu
"Vinaccia, Paolo",Jazzpunkensemblet
Virginia Maestro,Labuat
"Vu, Cuong",Pat Metheny Group
"Vågan, Ole Morten",Generator X
"Vågan, Ole Morten",Motif
"Vågan, Ole Morten",Trondheim Jazz Orchestra
"Vågan, Petter",Trondheim Jazz Orchestra
"Wagnberg, Paul",The Real Thing
"Waits, Nasheet",The New Jazz Composers Octet
"Walden, Chris",Chris Walden Big Band
"Walden, Myon",The New Jazz Composers Octet
Walker's Run,Gary Ruley and Mule Train
Walker's Run,Walker's Run
"Wallumrod, Christian",Generator X
"Wallumrod, Christian",Trondheim Jazz Orchestra
"Wallumrod, Christian",Jazzpunkensemblet
"Wang, Ellen Andrea",Pixel
"Ward, M.",She & Him
"Wareham, Pete",Melt Yourself Down
Warwick Hornby,The Whitlams
"Washam, Rey",Euripides Pants
"Washington, Peter",The Blue Note 7
"Watkins, Geraint",Bill Wyman's Rhythm Kings
"Watling, Leonor",Marlango
Wayne Bergeron,Chris Walden Big Band
"Weiss, David",The New Jazz Composers Octet
"Wendel, Ben",Kneebody
"Wesseltoft, Bugge",Oslo Groove Company
"Wesseltoft, Bugge",Jazzpunkensemblet
"Westerhus, Stian",Puma
Wetle Holte,Wibutee
"Wettre, Petter",Oslo Groove Company
"White, Maurice","Earth, Wind & Fire"
"White, Verdine","Earth, Wind & Fire"
"Wicks, John M.",Skerik's Syncopated Taint Septet
"Wierbos, Wolter",Boi Akih
"Wiik, Håvard",Atomic
"Wiik, Håvard",Motif
Will Holland,The Quantic Soul Orchestra
"William-Olsson, Staffan",The Real Thing
"Williams, Stokley",Mint Condition
"Wilson, Abram",Gary Crosby's Nu Troop
"Wilson, Steve",The Blue Note 7
Wilton Felder,The Jazz Crusaders / The Crusaders
"Winstead, Mary Elizabeth",Got a Girl
"Winstead, Mary Elizabeth",I Love You But I Must Drive Off This Cliff Now
"Winther, Christian Skaar",Monkey Plot
"Woe, Is Me",Huffamoose
Wolter Wierbos,Boi Akih
"Wood, Christopher Barry",Medeski Martin & Wood
"Wood, Nate",Kneebody
"Woodard, Rickey",Clayton-Hamilton Jazz Orchestra
"Wooten, Victor",Bass Extremes
"Wooten, Victor",SMV
"Wyman, Bill",Bill Wyman's Rhythm Kings
Xavier Davis,The New Jazz Composers Octet
"Yamagishi, June",Papa Grows Funk
Yoshifumi Ato,miu-clips
"Young, Snooky",Clayton-Hamilton Jazz Orchestra
"Zach, Ingar",Magnetic North Orchestra
"Zach, Ingar",Trondheim Jazz Orchestra
"Zanes, Dan",Dan Zanes and Friends
"Zanussi, Per",Trondheim Jazz Orchestra
Zolani Mahola,Freshlyground
Zooey Deschanel,She & Him
thumb|DjSlow Levi Finland 2011,SlowHill
thumb|English Musician,J*S*T*A*R*S
"Åse, Tone",BOL
"Åse, Tone",Kvitretten
"Åse, Tone",Trondheim Voices
"Ó Domhnaill, Mícheál",Nightnoise
"Øien, Jørn",Oofotr
"Øiseth, Hildegunn",Trondheim Jazz Orchestra
"Ølnes, Njål",Dingobats
"Ølnes, Njål",Trondheim Jazz Orchestra
Øystein Moen,Puma
Øystein Moen,Jaga Jazzist
Øyvind Brandtsegg,Trondheim Jazz Orchestra
Արտո Թունչբոյաջյան,Night Ark
